2   108 -35 -80    0
2   109 -30 -80    0
2   110 -25 -80    0
2   111 -20 -80    0
2   112 -15 -80    0
2   113 -10 -80    0
2   114 -5  -80    0
2   115 0   -80    0
2   116 5   -80    0
2   117 10  -80    0
2   133 -35 -75    0
2   134 -30 -75    0
2   135 -25 -75    0
2   136 -20 -75    0
2   137 -15 -75    0
2   138 -10 -75    0
2   139 -5  -75    0
2   140 0   -75    0
2   141 5   -75    0
2   142 10  -75    0
2   158 -35 -70    0
2   159 -30 -70    0
2   160 -25 -70    0
2   161 -20 -70    0
2   162 -15 -70    0
2   163 -10 -70    1
2   164 -5  -70    1
2   165 0   -70    0
2   166 5   -70    0
2   167 10  -70    0
2   183 -35 -65    0
2   184 -30 -65    0
2   185 -25 -65    0
2   186 -20 -65    0
2   187 -15 -65    0
2   188 -10 -65    1
2   189 -5  -65    1
2   190 0   -65    1
2   191 5   -65    0
2   192 10  -65    0
3   7   -35 -60    0   
3   8   -30 -60    0
3   9   -25 -60    0
3   10  -20 -60    0
3   11  -15 -60    1
3   12  -10 -60    1
3   13  -5  -60    1
3   14  0   -60    1
3   15  5   -60    1
3   16  10  -60    0
3   32  -35 -55    0
3   33  -30 -55    1
3   34  -25 -55    0
3   35  -20 -55    1
3   36  -15 -55    1
3   37  -10 -55    1
3   38  -5  -55    1
3   39  0   -55    1
3   40  5   -55    0
3   41  10  -55    0
3   58  -35 -50    0
3   59  -30 -50    1
3   60  -25 -50    1
3   61  -20 -50    1
3   62  -15 -50    1
3   63  -10 -50    1
3   64  -5  -50    1
3   65  0   -50    1
3   66  5   -50    0
3   67  10  -50    0
3   83  -35 -45    0
3   84  -30 -45    0
3   85  -25 -45    0
3   86  -20 -45    1
3   87  -15 -45    1
3   88  -10 -45    1
3   89  -5  -45    1
3   90  0   -45    0
3   91  5   -45    0
3   92  10  -45    0
3   108 -35 -40    0
3   109 -30 -40    0
3   110 -25 -40    0
3   111 -20 -40    1
3   112 -15 -40    1
3   113 -10 -40    1
3   114 -5  -40    1
3   115 0   -40    0
3   116 5   -40    0
3   117 10  -40    0
3   133 -35 -35    0
3   134 -30 -35    0
3   135 -25 -35    0
3   136 -20 -35    0
3   137 -15 -35    0
3   138 -10 -35    0
3   139 -5  -35    1
3   140 0   -35    0
3   141 5   -35    0
3   142 10  -35    0
3   158 -35 -30    0
3   159 -30 -30    0
3   160 -25 -30    0
3   161 -20 -30    0
3   162 -15 -30    0
3   163 -10 -30    0
3   164 -5  -30    0
3   165 0   -30    0
3   166 5   -30    0
3   167 10  -30    0


