0	24	50	180	0
0	25	55	180	0
0	26	65	180	0
0	50	50	185	0
0	51	55	185	0
0	69	20	190	0
0	70	25	190	0
0	71	30	190	0
0	74	45	190	0
0	75	50	190	0
0	76	55	190	0
0	77	65	190	0
0	78	75	190	0
0	93	15	195	0
0	94	20	195	0
0	95	25	195	0
0	96	30	195	0
0	99	45	195	0
0	100	50	195	0
0	101	55	195	0
0	117	10	200	0
0	118	15	200	0
0	119	20	200	0
0	120	25	200	0
0	121	30	200	0
0	125	50	200	0
0	126	55	200	0
0	127	65	200	0
0	128	75	200	0
0	142	10	205	0
0	143	15	205	0
0	144	20	205	0
0	145	25	205	0
0	146	30	205	0
0	150	50	205	0
0	151	55	205	0
0	168	15	210	0
0	169	20	210	0
0	170	25	210	0
0	171	30	210	0
0	175	50	210	0
0	176	55	210	0
0	177	65	210	0
0	178	75	210	0
0	199	45	215	0
0	200	50	215	0
0	201	55	215	0
1	23	40	220	0
1	24	45	220	0
1	25	50	220	0
1	26	55	220	0
1	27	65	220	0
1	28	75	220	0
1	46	30	225	0
1	47	35	225	1
1	48	40	225	1
1	49	45	225	1
1	50	50	225	1
1	51	55	225	1
1	70	25	230	0
1	71	30	230	1
1	72	35	230	1
1	73	40	230	1
1	74	45	230	1
1	75	50	230	1
1	76	55	230	1
1	77	65	230	0
1	78	75	230	0
1	95	25	235	1
1	96	30	235	1
1	97	35	235	1
1	98	40	235	1
1	99	45	235	1
1	100	50	235	1
1	101	55	235	1
1	119	20	240	0
1	120	25	240	1
1	121	30	240	1
1	122	35	240	1
1	123	40	240	1
1	124	45	240	1
1	125	50	240	1
1	126	55	240	1
1	127	65	240	0
1	144	20	245	0
1	145	25	245	1
1	146	30	245	1
1	147	35	245	1
1	148	40	245	1
1	149	45	245	1
1	150	50	245	1
1	151	55	245	1
1	169	20	250	0
1	170	25	250	1
1	171	30	250	1
1	172	35	250	1
1	173	40	250	1
1	174	45	250	1
1	175	50	250	1
1	176	55	250	1
1	194	20	255	1
1	195	25	255	1
1	196	30	255	1
1	197	35	255	1
1	198	40	255	1
1	199	45	255	1
1	200	50	255	1
1	201	55	255	1
2	18	20	260	1
2	19	25	260	1
2	20	30	260	1
2	21	35	260	1
2	22	40	260	1
2	23	45	260	1
2	24	50	260	1
2	25	55	260	1
2	43	20	265	1
2	44	25	265	1
2	45	30	265	1
2	46	35	265	1
2	47	40	265	1
2	48	45	265	1
2	49	50	265	1
2	50	55	265	1
2	68	20	270	0
2	69	25	270	1
2	70	30	270	1
2	71	35	270	1
2	72	40	270	1
2	73	45	270	1
2	74	50	270	1
2	75	55	270	1
2	93	15	275	0
2	94	20	275	1
2	95	25	275	1
2	96	30	275	1
2	97	35	275	1
2	98	40	275	1
2	99	45	275	1
2	100	50	275	1
2	101	55	275	1
2	118	15	280	0
2	119	20	280	1
2	120	25	280	1
2	121	30	280	1
2	122	35	280	1
2	123	40	280	1
2	124	45	280	1
2	125	50	280	1
2	126	55	280	1
