0   23   45.0   180.0 1 9
0   24   50.0   180.0 1 9
0   25   55.0   180.0 1 9
0   48   40.0   185.0 1 9
0   49   45.0   185.0 1 9
0   50   50.0   185.0 1 9
0   51   55.0   185.0 1 9
0   73   40.0   190.0 1 9
0   74   45.0   190.0 1 9
0   75   50.0   190.0 1 9
0   76   55.0   190.0 1 9
0   93   15.0   195.0 0 15
0   94   20.0   195.0 0 15
0   95   25.0   195.0 0 15
0   97   35.0   195.0 1 9
0   98   40.0   195.0 1 9
0   99   45.0   195.0 1 9
0  100   50.0   195.0 1 9
0  101   55.0   195.0 1 9
0  118   15.0   200.0 0 15
0  119   20.0   200.0 0 15
0  120   25.0   200.0 0 15
0  122   35.0   200.0 1 9
0  123   40.0   200.0 1 9
0  124   45.0   200.0 1 9
0  125   50.0   200.0 1 9
0  126   55.0   200.0 1 9
0  143   15.0   205.0 0 15
0  144   20.0   205.0 0 15
0  145   25.0   205.0 0 15
0  147   35.0   205.0 1 9
0  148   40.0   205.0 1 9
0  149   45.0   205.0 1 9
0  150   50.0   205.0 1 9
0  151   55.0   205.0 1 9
0  168   15.0   210.0 0 15
0  169   20.0   210.0 0 15
0  170   25.0   210.0 0 15
0  172   35.0   210.0 1 9
0  173   40.0   210.0 1 9
0  174   45.0   210.0 1 9
0  175   50.0   210.0 1 9
0  176   55.0   210.0 1 9
0  193   15.0   215.0 0 15
0  194   20.0   215.0 0 15
0  195   25.0   215.0 0 15
0  196   30.0   215.0 1 9
0  197   35.0   215.0 1 9
0  198   40.0   215.0 1 9
0  199   45.0   215.0 1 9
0  200   50.0   215.0 1 9
0  201   55.0   215.0 1 9
1   20   25.0   220.0 1 9
1   21   30.0   220.0 1 9
1   22   35.0   220.0 1 9
1   23   40.0   220.0 1 9
1   24   45.0   220.0 1 9
1   25   50.0   220.0 1 9
1   26   55.0   220.0 1 9
1   45   25.0   225.0 1 9
1   46   30.0   225.0 1 9
1   47   35.0   225.0 1 9
1   48   40.0   225.0 1 9
1   49   45.0   225.0 1 9
1   50   50.0   225.0 1 9
1   51   55.0   225.0 1 9
1   69   20.0   230.0 1 13
1   70   25.0   230.0 1 9
1   71   30.0   230.0 1 9
1   72   35.0   230.0 1 9
1   73   40.0   230.0 1 9
1   74   45.0   230.0 1 9
1   75   50.0   230.0 1 9
1   76   55.0   230.0 1 9
1   93   15.0   235.0 1 13
1   94   20.0   235.0 1 9
1   95   25.0   235.0 1 9
1   96   30.0   235.0 1 9
1   97   35.0   235.0 1 9
1   98   40.0   235.0 1 9
1   99   45.0   235.0 1 9
1  100   50.0   235.0 1 9
1  101   55.0   235.0 1 9
1  117   10.0   240.0 1 13
1  118   15.0   240.0 1 13
1  119   20.0   240.0 1 9
1  120   25.0   240.0 1 9
1  121   30.0   240.0 1 9
1  122   35.0   240.0 1 9
1  123   40.0   240.0 1 9
1  124   45.0   240.0 1 9
1  125   50.0   240.0 1 9
1  126   55.0   240.0 1 9
1  141    5.0   245.0 1 13
1  142   10.0   245.0 1 13
1  143   15.0   245.0 1 13
1  144   20.0   245.0 1 9
1  145   25.0   245.0 1 9
1  146   30.0   245.0 1 9
1  147   35.0   245.0 1 9
1  148   40.0   245.0 1 9
1  149   45.0   245.0 1 9
1  150   50.0   245.0 1 9
1  151   55.0   245.0 1 9
1  166    5.0   250.0 1 13
1  167   10.0   250.0 1 13
1  168   15.0   250.0 1 13
1  169   20.0   250.0 1 9
1  170   25.0   250.0 1 9
1  171   30.0   250.0 1 9
1  172   35.0   250.0 1 9
1  173   40.0   250.0 1 9
1  174   45.0   250.0 1 9
1  175   50.0   250.0 1 9
1  176   55.0   250.0 1 9
1  191    5.0   255.0 1 13
1  192   10.0   255.0 1 13
1  193   15.0   255.0 1 13
1  194   20.0   255.0 1 9
1  195   25.0   255.0 1 9
1  196   30.0   255.0 1 9
1  197   35.0   255.0 1 9
1  198   40.0   255.0 1 9
1  199   45.0   255.0 1 9
1  200   50.0   255.0 1 9
1  201   55.0   255.0 1 9
2   15    5.0   260.0 1 13
2   16   10.0   260.0 1 13
2   17   15.0   260.0 1 13
2   18   20.0   260.0 1 9
2   19   25.0   260.0 1 9
2   20   30.0   260.0 1 9
2   21   35.0   260.0 1 9
