54.8000 -130.0000
54.6500 -132.9500
58.2000 -136.9500
59.6500 -140.2000
60.2500 -146.8500
59.7800 -147.5000
59.9000 -149.5000
58.8000 -151.9500
57.5000 -152.0000
56.3000 -154.8000
57.4000 -155.0000
55.6000 -159.4000
54.9500 -159.3000
52.0000 -173.4000
51.4500 -178.0000
52.0000 -178.5000
52.8000 -171.0000
54.4000 -166.5000
57.0000 -159.0000
58.3000 -157.6000
58.5500 -162.1100
59.7500 -162.2000
59.8000 -166.6000
60.2000 -167.7000
60.8000 -165.1000
61.6000 -166.3000
63.3300 -164.4500
63.8500 -161.0000
64.2500 -161.2000
64.5000 -166.4000
65.7000 -168.3000
66.9000 -163.5000
68.3200 -166.8000
68.8100 -166.2000
70.3000 -161.8700
71.4000 -156.6500
69.8000 -141.0000
60.3100 -141.0000
60.3700 -139.1000
59.3000 -137.6000
59.8500 -135.4300
56.1000 -130.0000
54.8000 -130.0000
